単位[万kWh],,,,,,,,,,,,,,
DATE,TIME,東京エリア需要,供給力,,,,,,,,,,,
,,,原子力,火力,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,連系線,合計
2020/1/1,0:00,2857,0,2423,94,0,29,0,0,22,0,9,280,2857
2020/1/1,1:00,2703,0,2261,97,0,28,0,0,22,0,0,295,2703
2020/1/1,2:00,2602,0,2145,95,0,28,0,0,21,0,0,313,2602
2020/1/1,3:00,2520,0,2076,95,0,28,0,0,21,0,24,276,2520
2020/1/1,4:00,2464,0,1981,88,0,28,0,0,20,0,25,322,2464
2020/1/1,5:00,2469,0,1965,94,0,28,0,0,20,0,0,362,2469
2020/1/1,6:00,2585,0,2077,100,0,28,0,0,19,0,0,361,2585
2020/1/1,7:00,2763,0,2164,106,0,28,53,0,17,0,0,395,2763
2020/1/1,8:00,2917,0,2027,103,0,28,310,0,14,0,0,435,2917
2020/1/1,9:00,2859,0,1794,95,0,28,547,0,14,0,-61,442,2859
2020/1/1,10:00,2718,0,1771,94,0,28,703,0,15,0,-316,423,2718
2020/1/1,11:00,2595,0,1771,90,0,28,772,0,16,0,-516,434,2595
2020/1/1,12:00,2520,0,1772,90,0,28,747,0,17,0,-568,434,2520
2020/1/1,13:00,2449,0,1782,92,0,28,631,0,17,0,-525,424,2449
2020/1/1,14:00,2432,0,1800,100,0,28,454,0,18,0,-352,384,2432
2020/1/1,15:00,2503,0,1864,112,0,28,188,0,17,0,-90,384,2503
2020/1/1,16:00,2717,0,2081,122,0,28,4,0,16,0,95,371,2717
2020/1/1,17:00,3019,0,2205,125,0,28,0,0,16,0,328,317,3019
2020/1/1,18:00,3089,0,2264,127,0,28,0,0,16,0,333,321,3089
2020/1/1,19:00,3105,0,2337,112,0,28,0,0,16,0,271,341,3105
2020/1/1,20:00,3107,0,2489,103,0,28,0,0,17,0,163,307,3107
2020/1/1,21:00,3075,0,2568,100,0,28,0,0,19,0,60,300,3075
2020/1/1,22:00,2963,0,2479,96,0,28,0,0,20,0,16,324,2963
2020/1/1,23:00,2843,0,2370,92,0,28,0,0,20,0,12,321,2843
2020/1/2,0:00,2640,0,2131,95,0,28,0,0,18,0,0,368,2640
2020/1/2,1:00,2514,0,1990,95,0,28,0,0,18,0,0,383,2514
2020/1/2,2:00,2468,0,1964,93,0,28,0,0,18,0,0,365,2468
2020/1/2,3:00,2441,0,1961,89,0,28,0,0,19,0,0,344,2441
2020/1/2,4:00,2435,0,1932,91,0,28,0,0,19,0,0,365,2435
2020/1/2,5:00,2487,0,1991,90,0,28,0,0,17,0,0,361,2487
2020/1/2,6:00,2658,0,2125,102,0,28,0,0,16,0,0,387,2658
2020/1/2,7:00,2863,0,2231,104,0,28,56,0,17,0,0,427,2863
2020/1/2,8:00,3010,0,2102,93,0,28,327,0,15,0,0,445,3010
2020/1/2,9:00,2961,0,1822,90,0,28,565,0,15,0,-28,469,2961
2020/1/2,10:00,2865,0,1751,91,0,28,702,0,16,0,-183,460,2865
2020/1/2,11:00,2773,0,1752,88,0,28,747,0,19,0,-327,466,2773
2020/1/2,12:00,2687,0,1750,88,0,28,674,0,20,0,-335,462,2687
2020/1/2,13:00,2583,0,1755,91,0,28,569,0,19,0,-326,447,2583
2020/1/2,14:00,2541,0,1804,96,0,28,414,0,18,0,-243,424,2541
2020/1/2,15:00,2600,0,1910,104,0,28,179,0,16,0,-18,381,2600
2020/1/2,16:00,2808,0,2186,122,0,28,4,0,18,0,123,327,2808
2020/1/2,17:00,3107,0,2346,124,0,28,0,0,19,0,224,366,3107
2020/1/2,18:00,3187,0,2405,127,0,28,0,0,18,0,289,320,3187
2020/1/2,19:00,3196,0,2447,116,0,28,0,0,19,0,254,332,3196
2020/1/2,20:00,3184,0,2529,108,0,28,0,0,19,0,166,334,3184
2020/1/2,21:00,3128,0,2599,101,0,28,0,0,19,0,31,350,3128
2020/1/2,22:00,2999,0,2531,97,0,28,0,0,17,0,0,326,2999
2020/1/2,23:00,2868,0,2393,96,0,28,0,0,15,0,0,336,2868
2020/1/3,0:00,2653,0,2223,96,0,28,0,0,13,0,0,293,2653
2020/1/3,1:00,2525,0,2070,94,0,28,0,0,12,0,0,321,2525
2020/1/3,2:00,2478,0,2034,89,0,28,0,0,12,0,0,315,2478
2020/1/3,3:00,2457,0,2010,87,0,28,0,0,11,0,0,321,2457
2020/1/3,4:00,2449,0,1976,86,0,28,0,0,9,0,0,350,2449
2020/1/3,5:00,2503,0,2033,87,0,28,0,0,8,0,0,347,2503
2020/1/3,6:00,2670,0,2187,97,0,28,0,0,7,0,0,351,2670
2020/1/3,7:00,2892,0,2308,102,0,28,65,0,7,0,0,382,2892
2020/1/3,8:00,3074,0,2209,95,0,28,333,0,6,0,0,403,3074
2020/1/3,9:00,3034,0,1898,91,0,28,588,0,5,0,0,424,3034
2020/1/3,10:00,2908,0,1704,88,0,28,760,0,6,0,-135,457,2908
2020/1/3,11:00,2777,0,1737,82,0,28,826,0,7,0,-285,382,2777
2020/1/3,12:00,2693,0,1742,81,0,28,794,0,10,0,-327,365,2693
